Product_Category,months,Order_Demand
3,2,100
3,1,500
3,1,500
3,1,500
3,1,500
3,1,500
3,2,500
3,2,500
3,2,500
3,2,500
3,2,500
3,3,500
3,3,500
3,3,500
3,3,500
3,3,500
1,1,50000
1,1,100000
1,1,50000
1,1,50000
1,1,50000
1,1,50000
1,1,50000
1,1,50000
1,1,50000
1,2,50000
1,1,50000
1,2,50000
1,2,50000
1,2,50000
1,2,50000
1,2,50000
1,2,50000
1,2,50000
1,2,50000
1,2,50000
1,3,50000
1,3,50000
1,2,50000
1,2,50000
1,3,50000
1,3,50000
1,3,100000
1,3,50000
1,3,100000
1,3,50000
1,3,50000
1,2,4
1,2,4
1,3,4
1,1,150000
1,1,150000
1,1,150000
1,2,150000
1,2,160000
1,2,160000
1,2,160000
1,2,160000
1,3,160000
1,3,160000
1,3,160000
1,3,160000
1,3,160000
2,1,1000
2,1,1000
2,1,1000
2,1,1000
2,1,1000
2,1,20000
2,1,20000
2,1,20000
2,1,1000
2,1,1000
2,1,1000
2,1,1000
2,1,2000
2,1,1000
2,1,1000
2,1,1000
2,1,20000
2,1,1000
2,1,20000
2,1,10000
2,1,10000
2,1,30000
2,1,20000
2,1,1000
2,1,1000
2,1,1000
2,1,20000
2,2,40000
2,2,1000
2,2,1000
2,2,1000
2,2,1000
2,2,30000
2,2,30000
2,2,30000
2,2,1000
2,2,1000
2,2,1000
2,2,1000
2,2,30000
2,2,30000
2,2,30000
2,2,1000
2,2,1000
2,2,1000
2,2,1000
2,2,1000
2,3,1000
2,3,1000
2,3,60000
2,3,30000
2,3,30000
2,3,1000
2,3,1000
2,3,1000
2,3,1000
2,3,1000
2,3,30000
2,3,30000
2,3,30000
2,3,30000
2,3,1000
2,3,1000
1,1,28000
1,1,4000
1,1,28000
1,1,9000
1,1,4000
1,1,2000
1,2,1000
1,2,23000
1,2,1000
1,2,1000
1,2,26000
1,2,1000
1,2,35000
1,2,2000
1,2,36000
1,2,2000
1,2,1000
1,2,15000
1,2,7000
1,3,42000
1,3,45000
1,3,1000
1,3,16000
1,3,2000
1,3,2000
1,3,1000
1,3,2000
1,3,3000
1,3,1000
1,3,2000
2,1,600
2,1,300
2,1,1600
2,1,900
2,1,1300
2,1,1600
2,1,200
2,1,1000
2,1,1800
2,1,1400
2,1,100
2,1,1400
2,1,1200
2,1,300
2,1,400
2,1,900
2,1,300
2,1,600
2,1,800
2,1,2700
2,1,300
2,1,300
2,1,900
2,1,200
2,2,900
2,2,500
2,2,1300
2,2,500
2,2,100
2,2,900
2,2,1200
2,2,1500
2,2,600
2,2,300
2,2,400
2,2,1600
2,2,1300
2,2,1900
2,2,600
2,2,100
2,2,600
2,2,500
2,2,100
2,2,600
2,2,500
2,2,200
2,2,600
2,2,800
2,2,900
2,2,300
2,2,700
2,3,300
2,3,600
2,3,1300
2,3,200
2,3,300
2,3,100
2,3,200
2,3,900
2,3,3000
2,2,5000
2,2,15000
2,3,2000
2,1,100
2,3,300
2,3,200
2,1,2000
2,1,2000
2,1,5000
2,2,100
2,3,400
1,1,60000
1,1,30000
1,1,30000
1,1,30000
1,1,10000
1,1,10000
1,1,5000
1,1,10000
1,2,10000
1,2,5000
1,2,20000
1,2,10000
1,2,10000
1,2,40000
1,2,10000
1,2,10000
1,2,30000
1,2,30000
1,2,20000
1,2,30000
1,2,20000
1,2,30000
1,2,35000
1,2,5000
1,2,20000
1,2,10000
1,3,30000
1,3,20000
1,3,20000
1,3,40000
1,3,30000
1,3,30000
1,3,10000
1,3,30000
1,3,10000
1,3,10000
1,3,10000
1,3,20000
1,3,90000
1,3,30000
2,1,200
2,1,10000
2,1,1000
2,1,1000
2,1,200
2,1,10000
2,1,200
2,1,200
2,2,1000
2,1,80000
2,1,10000
2,1,200
2,2,200
2,2,200
2,2,400
2,2,70000
2,2,200
2,2,200
2,2,10000
2,2,400
2,2,2000
2,2,200
2,2,80000
2,2,200
2,2,200
2,2,100000
2,2,400
2,2,10000
2,2,200
2,2,100000
2,2,200
2,3,200
2,3,1000
2,3,200
2,3,80000
2,3,200
2,3,10000
2,3,1000
2,3,200
2,3,80000
2,3,200
2,3,10000
2,3,200
2,3,200
2,3,2000
2,2,4000
1,1,2000
1,1,2000
1,1,5000
1,1,2000
1,1,5000
1,1,6000
1,1,10000
1,1,2000
1,1,1000
1,1,10000
1,1,4000
1,1,5000
1,1,10000
1,1,4000
1,1,1000
1,1,3000
1,2,20000
1,2,5000
1,2,5000
1,2,9000
1,2,1000
1,2,5000
1,2,5000
1,2,3000
1,2,5000
1,2,2000
1,2,4000
1,2,1000
1,2,1000
1,2,2000
1,2,1000
1,2,10000
1,2,6000
1,2,5000
1,2,5000
1,2,1000
1,2,1000
1,2,4000
1,2,5000
1,3,9000
1,3,2000
1,3,1000
1,3,4000
1,3,3000
1,3,5000
1,3,8000
1,3,8000
1,3,1000
1,3,3000
1,3,4000
1,3,3000
1,3,3000
2,1,99000
2,1,8000
2,1,40000
2,1,15000
2,1,28000
2,1,20000
2,1,1000
2,1,152000
2,1,100000
2,1,30000
2,1,199000
2,1,3000
2,1,3000
2,1,42500
2,1,7500
2,1,6000
2,1,10000
2,1,100000
2,1,207000
2,1,5000
2,1,3500
2,1,10000
2,1,1000
2,1,1000
2,1,3000
2,1,25500
2,2,4000
2,2,10000
2,2,15000
2,2,10000
2,2,80000
2,2,100000
2,2,500
2,2,1000
2,2,70000
2,2,2000
2,2,4500
2,2,1000
2,2,53000
2,2,280000
2,2,260000
2,2,1500
2,2,57000
2,2,325000
2,2,163500
2,2,200000
2,2,1000
2,2,249000
2,2,280000
2,2,400000
2,2,2000
2,2,8000
2,2,2000
